window,model,feature_set,MAE,RMSE,R2
Pre-sleep,Baseline,-,0.0481,0.0710,-0.0993
Pre-sleep,ElasticNetCV,Core,0.0481,0.0710,-0.0993
Pre-sleep,ElasticNetCV,Expanded,0.0481,0.0710,-0.0993
Pre-sleep,XGBoost,Core,0.0638,0.0875,-0.7434
Pre-sleep,XGBoost,Expanded,0.0632,0.0865,-0.7079
Overnight,Baseline,-,0.0410,0.0632,-0.0545
Overnight,ElasticNetCV,Core,0.0422,0.0648,-0.1214
Overnight,ElasticNetCV,Expanded,0.0417,0.0642,-0.0963
Overnight,XGBoost,Core,0.0511,0.0742,-0.5392
Overnight,XGBoost,Expanded,0.0539,0.0796,-0.8865
